Geneid,LC,LN,RC,RN
TraesCS1A02G019700,0,0,0,0
TraesCS1A02G095600,8,21,117,46
TraesCS1A02G164700,135,79,92,38
TraesCS1A02G256700,0,0,2,0
TraesCS1A02G310300,0,0,0,0
TraesCS1B02G023900,0,0,0,0
TraesCS1B02G128000,0,2,2,4
TraesCS1B02G181600,96,55,62,15
TraesCS1B02G267300,5,0,92,38
TraesCS1B02G321500,0,0,7,3
TraesCS1D02G019300,0,0,0,0
TraesCS1D02G104500,1,11,51,26
TraesCS1D02G161800,239,131,150,57
TraesCS1D02G256100,0,0,1,1
TraesCS1D02G309800,0,0,1,0
TraesCS2A02G219600,1,0,378,144
TraesCS2A02G219700,20,10,51,42
TraesCS2A02G231600,4,0,3,0
TraesCS2A02G300300,0,0,0,0
TraesCS2A02G505300,2,1,0,0
TraesCS2A02G516300,36,53,190,103
TraesCS2A02G575700,5,4,0,0
TraesCS2A02G584400,0,0,60,35
TraesCS2A02G584600,0,0,50,20
TraesCS2B02G245100,2,0,556,218
TraesCS2B02G245300,20,5,60,55
TraesCS2B02G255800,0,0,0,0
TraesCS2B02G316600,0,1,0,0
TraesCS2B02G533700,0,2,0,0
TraesCS2B02G545100,273,381,763,334
TraesCS2B02G598400,0,0,277,112
TraesCS2B02G598500,0,0,60,41
TraesCS2B02G611600,17,12,1,4
TraesCS2D02G225400,1,0,163,57
TraesCS2D02G225500,16,10,56,37
TraesCS2D02G298200,0,0,0,0
TraesCS2D02G506100,0,0,0,0
TraesCS2D02G518100,11,22,78,32
TraesCS2D02G548200,0,0,0,0
TraesCS2D02G586500,4,12,1,0
TraesCS2D02G601600,0,0,40,16
TraesCS2D02G601700,0,0,76,54
TraesCS3A02G007100,0,1,172,73
TraesCS3A02G019600,38,1,13,11
TraesCS3A02G196000,0,0,0,0
TraesCS3A02G298500,11,7,8,2
TraesCS3A02G331900,0,0,37,9
TraesCS3A02G335900,0,0,1,4
TraesCS3A02G339800,0,0,0,0
TraesCS3B02G006900,0,0,10,7
TraesCS3B02G026700,152,5,5,4
TraesCS3B02G227600,0,0,1,0
TraesCS3B02G338000,12,3,20,1
TraesCS3B02G362000,0,0,394,124
TraesCS3B02G366800,0,0,1,1
TraesCS3B02G371400,0,0,0,0
TraesCS3D02G003600,0,4,126,63
TraesCS3D02G027300,168,0,34,3
TraesCS3D02G199100,0,0,0,0
TraesCS3D02G303400,43,4,8,4
TraesCS3D02G325400,0,0,230,60
TraesCS3D02G328900,0,0,0,5
TraesCS3D02G333300,0,0,0,0
TraesCS4A02G041500,0,0,0,0
TraesCS4A02G271100,127,136,46,15
TraesCS4A02G284700,0,0,0,0
TraesCS4A02G415600,1,0,265,35
TraesCS4B02G028400,0,0,0,0
TraesCS4B02G043000,78,84,53,12
TraesCS4B02G262500,0,0,0,0
TraesCS4B02G316400,6,1,233,62
TraesCS4D02G040300,114,51,18,6
TraesCS4D02G262600,0,0,0,0
TraesCS4D02G313000,0,0,0,0
TraesCS5A02G015800,0,0,9,10
TraesCS5A02G060000,0,2,0,0
TraesCS5A02G220400,0,3,2,0
TraesCS5A02G220500,12,81,543,245
TraesCS5A02G483100,0,0,50,30
TraesCS5B02G014100,0,0,4,6
TraesCS5B02G067300,0,0,0,0
TraesCS5B02G219500,1,0,15,10
TraesCS5B02G219600,3,2,52,84
TraesCS5B02G496200,0,4,229,138
TraesCS5D02G021800,0,0,20,11
TraesCS5D02G071500,0,0,0,0
TraesCS5D02G228400,15,0,4,2
TraesCS5D02G228500,7,21,815,472
TraesCS5D02G496600,0,1,159,73
TraesCS6A02G008800,4,20,20,5
TraesCS6A02G009400,0,0,2,1
TraesCS6A02G039800,0,0,0,0
TraesCS6A02G271500,4,2,39,15
TraesCS6A02G329600,0,0,27,12
TraesCS6A02G329700,0,0,2,0
TraesCS6A02G329800,0,0,143,93
TraesCS6A02G329900,0,0,98,46
TraesCS6A02G330000,0,0,984,239
TraesCS6A02G330100,0,1,2194,863
TraesCS6B02G014700,0,0,5,3
TraesCS6B02G015400,13,32,50,23
TraesCS6B02G054800,0,0,0,0
TraesCS6B02G298700,25,4,62,12
TraesCS6B02G360400,0,0,0,0
TraesCS6B02G360500,0,0,0,0
TraesCS6B02G360600,0,0,59,40
TraesCS6B02G360700,0,0,0,1
TraesCS6B02G360800,0,0,517,237
TraesCS6B02G360900,0,0,1653,746
TraesCS6D02G009800,8,6,36,14
TraesCS6D02G012400,0,0,48,17
TraesCS6D02G045700,33,8,35,21
TraesCS6D02G251700,21,8,92,59
TraesCS6D02G308500,0,0,25,16
TraesCS6D02G308600,0,0,69,4
TraesCS6D02G308700,0,1,1323,779
TraesCS6D02G308800,0,0,4,0
TraesCS6D02G308900,0,0,262,116
TraesCS6D02G309000,1,0,2727,1278
TraesCS7A02G109400,0,0,0,0
TraesCS7A02G109600,0,0,0,2
TraesCS7A02G169100,123,101,1424,972
TraesCS7A02G209000,37,28,34,8
TraesCS7A02G300400,0,0,0,0
TraesCS7A02G409900,141,141,658,371
TraesCS7A02G477400,0,0,0,0
TraesCS7A02G477500,0,0,71,24
TraesCS7A02G490000,0,0,0,0
TraesCS7A02G526900,0,0,0,0
TraesCS7B02G007400,0,0,0,0
TraesCS7B02G007600,0,0,0,0
TraesCS7B02G073900,68,43,1765,977
TraesCS7B02G116100,43,24,34,12
TraesCS7B02G201300,0,0,0,0
TraesCS7B02G309300,83,93,514,249
TraesCS7B02G379000,0,0,0,0
TraesCS7B02G379300,0,0,0,0
TraesCS7B02G388500,0,0,0,0
TraesCS7B02G393200,0,0,0,0
TraesCS7D02G104700,0,0,0,0
TraesCS7D02G104900,0,0,0,0
TraesCS7D02G170200,153,115,2833,1760
TraesCS7D02G211200,56,62,54,23
TraesCS7D02G296100,0,0,0,0
TraesCS7D02G403100,470,999,880,436
TraesCS7D02G464900,0,0,0,0
TraesCS7D02G465000,0,0,0,0
TraesCS7D02G472200,0,0,0,0
TraesCS7D02G476400,0,0,0,0
TraesCS2D02G271000_M,0,2,0,0
TraesCS2A02G707500_M,0,0,0,0
TraesCS2B02G855500_M,0,0,2,4
TraesCS4D02G015400_M,0,0,0,0
